Date,AAPL,GOOG,IBM,MSFT
2010-01-04,123432400,3927000,6155300,38409100
2010-01-05,150476200,6031900,6841400,49749600
2010-01-06,138040000,7987100,5605300,58182400
2010-01-07,119282800,12876600,5840600,50559700
2010-01-08,111902700,9483900,4197200,51197400
2010-01-11,115557400,14479800,5730400,68754700
2010-01-12,148614900,9742900,8081500,65912100
2010-01-13,151473000,13041800,6455400,51863500
2010-01-14,108223500,8511900,7111800,63228100
2010-01-15,148516900,10909600,8494400,79913200
2010-01-19,182501900,8665700,13916200,46575700
2010-01-20,153038200,6525700,15197500,54849500
2010-01-21,152038600,12662600,9608600,73086700
2010-01-22,220441900,13651700,10088600,102004600
2010-01-25,266424900,8872800,5738500,63373000
2010-01-26,466777500,8743600,7135300,66639900
2010-01-27,430642100,7958400,8719200,63949500
2010-01-28,293375600,6482300,9622200,117513700
2010-01-29,311488100,8311900,11571200,193888500
2010-02-01,187469100,4518400,7242900,85931100
2010-02-02,174585600,8223000,5899900,54413700
2010-02-03,153832000,6020500,4177100,61397900
2010-02-04,189413000,6780600,9126900,77850000
2010-02-05,212576700,6335600,8617000,80960100
2010-02-08,119567700,5408700,5718500,52820600
2010-02-09,158221700,5660200,6044500,59195800
2010-02-10,92590400,5369000,5219100,48591300
2010-02-11,137586400,4838000,5089000,65993700
2010-02-12,163867200,4576400,8017700,81117200
2010-02-16,135934400,7336100,6777300,51935600
2010-02-17,109099200,4074500,5827400,45882900
2010-02-18,105706300,4691200,5525900,42856500
2010-02-19,103867400,5125300,6303100,44451800
2010-02-22,97640900,4305100,3808100,36707100
2010-02-23,143773700,5766600,4591900,52266200
2010-02-24,115141600,4670500,4782000,43165900
2010-02-25,166281500,6643100,5658700,48735300
2010-02-26,126865200,4113800,4784200,40370600
2010-03-01,137523400,4492500,4577700,43805400
2010-03-02,141636600,8746200,6013300,93123900
2010-03-03,93013200,6201800,6390000,48442100
2010-03-04,91510300,6391300,6032300,42890600
2010-03-05,224905100,7853700,6140200,56001800
2010-03-08,107472400,4790600,6199300,39414500
2010-03-09,230064800,6376900,7528800,50271600
2010-03-10,149054500,11352100,6916200,44891400
2010-03-11,101425100,8498200,7922200,35349700
2010-03-12,104080900,5527400,5169500,31700200
2010-03-15,123375700,9342600,4497700,37512000
2010-03-16,111727000,6888600,6134900,36723500
2010-03-17,112739200,6668000,6348400,50385700
2010-03-18,85527400,3567600,4954400,43845200
2010-03-19,139861400,9624200,10744300,81332100
2010-03-22,114104900,8039600,5651900,37718200
2010-03-23,150607800,11043800,5978500,42026600
2010-03-24,149445100,13179500,6669300,33987700
2010-03-25,135571100,7891200,7603200,73168700
2010-03-26,160218800,5412500,5550800,55595500
2010-03-29,135186100,6232200,4643000,33336000
2010-03-30,131827500,3970500,3426600,34954800
2010-03-31,107664900,6084200,4904800,63760000
2010-04-01,150786300,4221100,4980500,74768100
2010-04-05,171126900,3817200,4118700,34331200
2010-04-06,111754300,4135600,3926300,47366800
2010-04-07,157125500,5181200,5157000,58318800
2010-04-08,143247300,3909500,6006900,63713800
2010-04-09,83545700,4128600,5185100,54752500
2010-04-12,83256600,4722400,3992300,37068800
2010-04-13,76552700,7853900,6819100,41374600
2010-04-14,101019100,6830900,8545800,68941200
2010-04-15,94196200,13574200,6425300,52745400
2010-04-16,187636400,24562600,9546200,88703100
2010-04-19,141731100,7817100,11353700,64970300
2010-04-20,184581600,5977000,15216500,52199500
2010-04-21,245597800,4800800,7559200,55343100
2010-04-22,198356200,6585900,6018500,84847600
2010-04-23,199238900,4194300,6197300,126766600
2010-04-26,119767200,8770300,5285400,63649300
2010-04-27,177335900,7718100,10916700,68730900
2010-04-28,189600600,6837700,7122300,64557900
2010-04-29,139710200,6140700,5786900,52665200
2010-04-30,135615900,4888900,6266700,63214800
2010-05-03,113585500,3729500,4992100,43989500
2010-05-04,180954900,12198000,8285000,82085600
2010-05-05,220775800,9198600,6072800,66833800
2010-05-06,321465200,10037600,13168800,128613000
2010-05-07,419004600,10216000,10584800,173718100
2010-05-10,246076600,8286800,8463900,86653300
2010-05-11,212226700,6670000,6498900,63789400
2010-05-12,163594900,7732400,16626900,47146800
2010-05-13,149928100,6676400,10497800,45188800
2010-05-14,189840700,8262800,9920100,63334000
2010-05-17,190708700,5608400,8923400,46053300
2010-05-18,195669600,5672100,9330000,52690600
2010-05-19,256431700,6917100,8669300,61746700
2010-05-20,320728800,9863400,13176500,87991100
2010-05-21,305972800,19454100,12639500,117596300
2010-05-24,188559700,8723600,6868600,73711700
2010-05-25,262001600,6057300,9494800,98373600
2010-05-26,212663500,6977200,9083200,176684100
2010-05-27,166570600,5639200,7725900,136433600
2010-05-28,203903700,5811200,7421900,67496900
2010-06-01,219118200,5353500,7135400,76152400
2010-06-02,172137000,5100500,7705300,65718800
2010-06-03,162526700,7328700,6645300,67837000
2010-06-04,189576100,7869900,9669200,89832200
2010-06-07,221735500,7292500,6951400,80456200
2010-06-08,250192600,5390200,8399200,87355000
2010-06-09,213657500,5478300,7795500,87794000
2010-06-10,194089000,5175000,7479700,78930900
2010-06-11,136439800,3576600,5820200,68057700
2010-06-14,150740100,4096000,6753000,50972400
2010-06-15,146268500,8551100,6652500,81641500
2010-06-16,195919500,4595600,6401000,48698000
2010-06-17,218213800,3969300,5571000,47995500
2010-06-18,196155400,5767200,9581400,52075600
2010-06-21,194122600,5989200,6857800,54625300
2010-06-22,179315500,4456000,6030200,55985400
2010-06-23,192114300,4073300,6855800,61466200
2010-06-24,178569300,3801300,5565500,85243400
2010-06-25,137485600,4507100,10420400,156256700
2010-06-28,146237000,3537700,6335100,73784800
2010-06-29,283336200,7030400,9376200,119882100
2010-06-30,184863000,7233400,8018000,81050500
2010-07-01,255724000,7053500,9742100,92239400
2010-07-02,173460700,3886400,6454500,62485100
2010-07-06,153808900,5139300,6348700,73592000
2010-07-07,163639000,6282800,7090300,79965300
2010-07-08,184536100,5357700,5439300,50758100
2010-07-09,108330600,8695400,3898000,53806100
2010-07-12,140719600,6693700,4206900,49854200
2010-07-13,297731000,7982300,6687700,61928700
2010-07-14,203011900,6259300,6607200,72808100
2010-07-15,206216500,9752800,6186800,56934700
2010-07-16,259964600,15708200,7002900,65064800
2010-07-19,256119500,9134700,8388600,38181800
2010-07-20,268737700,8139300,16337400,45530700
2010-07-21,296417800,6583700,8615500,73297300
2010-07-22,161329700,4311400,6909000,73016400
2010-07-23,133347200,4545700,5078000,108520100
2010-07-26,105137900,4005200,5174900,67249900
2010-07-27,146192900,4920700,4648200,60672100
2010-07-28,129996300,5010600,4248800,69704800
2010-07-29,160951700,5371000,8994200,69446200
2010-07-30,112052500,4304100,6021000,83534800
2010-08-02,107013900,3731300,6437500,55044600
2010-08-03,104413400,3618100,5091800,56877700
2010-08-04,105093800,7653500,4567500,78531900
2010-08-05,72274300,4858900,4520600,64922100
2010-08-06,111224400,6663800,6136200,55982100
2010-08-09,75782000,3758300,6131700,57096500
2010-08-10,112980000,4163400,5471700,87257700
2010-08-11,155013600,4462600,6316100,76746900
2010-08-12,133730100,4425700,5132200,70240500
2010-08-13,88717300,3883800,4669400,45263500
2010-08-16,79607500,2619700,4009200,40909700
2010-08-17,105660100,3795400,4298300,52912600
2010-08-18,84924000,5392800,4883200,46818900
2010-08-19,106676500,7879300,5402400,54064600
2010-08-20,96057500,7864500,6246300,49560100
2010-08-23,103510400,5994700,4034400,51643000
2010-08-24,150641400,5546000,5621200,66522500
2010-08-25,149216900,5203500,5235300,47404800
